sample_index,peer_replicas,network_latency_ms,network_latency_jitter_ms,process_start_us,logging_initialized_us,config_loaded_us,replica_with_config_completed_us,replica_task_spawned_us,crdt_pid_set_us,http_server_ready_us,network_manager_ready_us,metric_writer_ready_us,object_storage_client_start_us,object_storage_client_ready_us,replica_run_start_us,replica_init_start_us,persistent_state_fetch_completed_us,membership_descriptor_write_completed_us,membership_directory_read_completed_us,replica_init_completed_us,logging_initialized_delta_us,config_loaded_delta_us,replica_with_config_completed_delta_us,replica_task_spawned_delta_us,crdt_pid_set_delta_us,http_server_ready_delta_us,network_manager_ready_delta_us,metric_writer_ready_delta_us,object_storage_client_start_delta_us,object_storage_client_ready_delta_us,replica_run_start_delta_us,replica_init_start_delta_us,persistent_state_fetch_completed_delta_us,membership_descriptor_write_completed_delta_us,membership_directory_read_completed_delta_us,replica_init_completed_delta_us,sample_dir,persistent_path,membership_path
32,1,0,0,1778233455476497,1778233455476524,1778233455476547,1778233455809958,1778233455809970,1778233455476552,1778233455476622,1778233455476655,1778233455476839,1778233455476840,1778233455809953,1778233455810000,1778233455810020,1778233455871988,1778233455884408,1778233455901830,1778233455901891,27,50,333461,333473,55,125,158,342,343,333456,333503,333523,395491,407911,425333,425394,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_032,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
33,1,0,0,1778233458240801,1778233458240825,1778233458240845,1778233458567715,1778233458567725,1778233458240849,1778233458240909,1778233458240937,1778233458241088,1778233458241088,1778233458567710,1778233458567758,1778233458567776,1778233458631870,1778233458627312,1778233458649791,1778233458649837,24,44,326914,326924,48,108,136,287,287,326909,326957,326975,391069,386511,408990,409036,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_033,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
34,1,0,0,1778233460915616,1778233460915645,1778233460915668,1778233461228543,1778233461228552,1778233460915673,1778233460915743,1778233460915779,1778233460915959,1778233460915959,1778233461228538,1778233461228611,1778233461228640,1778233461285544,1778233461298337,1778233461324216,1778233461324278,29,52,312927,312936,57,127,163,343,343,312922,312995,313024,369928,382721,408600,408662,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_034,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
35,1,0,0,1778233463678797,1778233463678822,1778233463678845,1778233464010224,1778233464010234,1778233463678850,1778233463678919,1778233463678953,1778233463679132,1778233463679133,1778233464010220,1778233464010262,1778233464010277,1778233464062609,1778233464062918,1778233464083965,1778233464084016,25,48,331427,331437,53,122,156,335,336,331423,331465,331480,383812,384121,405168,405219,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_035,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
36,1,0,0,1778233466387376,1778233466387407,1778233466387428,1778233466710914,1778233466710925,1778233466387436,1778233466387505,1778233466387535,1778233466387713,1778233466387713,1778233466710908,1778233466710952,1778233466710971,1778233466770869,1778233466780345,1778233466804471,1778233466804529,31,52,323538,323549,60,129,159,337,337,323532,323576,323595,383493,392969,417095,417153,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_036,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
37,1,0,0,1778233469138682,1778233469138706,1778233469138729,1778233469483342,1778233469483353,1778233469138734,1778233469138805,1778233469138834,1778233469139020,1778233469139020,1778233469483336,1778233469483383,1778233469483405,1778233469544477,1778233469553049,1778233469575991,1778233469576046,24,47,344660,344671,52,123,152,338,338,344654,344701,344723,405795,414367,437309,437364,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_037,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
38,1,0,0,1778233472022713,1778233472022738,1778233472022762,1778233472359014,1778233472359024,1778233472022767,1778233472022835,1778233472022874,1778233472023048,1778233472023048,1778233472359008,1778233472359075,1778233472359094,1778233472419144,1778233472428724,1778233472449587,1778233472449647,25,49,336301,336311,54,122,161,335,335,336295,336362,336381,396431,406011,426874,426934,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_038,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
39,1,0,0,1778233474819905,1778233474819928,1778233474819948,1778233475141648,1778233475141660,1778233474819952,1778233474820010,1778233474820038,1778233474820182,1778233474820182,1778233475141644,1778233475141687,1778233475141702,1778233475206415,1778233475219042,1778233475244523,1778233475244601,23,43,321743,321755,47,105,133,277,277,321739,321782,321797,386510,399137,424618,424696,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_039,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
40,1,0,0,1778233477489975,1778233477489996,1778233477490018,1778233477818709,1778233477818719,1778233477490022,1778233477490081,1778233477490109,1778233477490259,1778233477490259,1778233477818704,1778233477818796,1778233477818814,1778233477886986,1778233477901344,1778233477946350,1778233477946398,21,43,328734,328744,47,106,134,284,284,328729,328821,328839,397011,411369,456375,456423,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_040,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
41,1,0,0,1778233480483646,1778233480483670,1778233480483689,1778233480803831,1778233480803841,1778233480483694,1778233480483787,1778233480483821,1778233480483969,1778233480483969,1778233480803826,1778233480803869,1778233480803886,1778233480859226,1778233480857970,1778233480883933,1778233480884005,24,43,320185,320195,48,141,175,323,323,320180,320223,320240,375580,374324,400287,400359,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_041,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
42,1,0,0,1778233483233626,1778233483233654,1778233483233676,1778233483580066,1778233483580076,1778233483233681,1778233483233745,1778233483233776,1778233483233938,1778233483233938,1778233483580062,1778233483580103,1778233483580120,1778233483687510,1778233483718408,1778233483740285,1778233483740359,28,50,346440,346450,55,119,150,312,312,346436,346477,346494,453884,484782,506659,506733,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_042,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
43,1,0,0,1778233486094337,1778233486094364,1778233486094387,1778233486439970,1778233486439980,1778233486094392,1778233486094462,1778233486094494,1778233486094688,1778233486094688,1778233486439965,1778233486440011,1778233486440030,1778233486502748,1778233486516692,1778233486540724,1778233486540778,27,50,345633,345643,55,125,157,351,351,345628,345674,345693,408411,422355,446387,446441,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_043,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
44,1,0,0,1778233488943856,1778233488943881,1778233488943905,1778233489341467,1778233489341479,1778233488943913,1778233488943989,1778233488944029,1778233488944223,1778233488944224,1778233489341463,1778233489341512,1778233489341530,1778233489397778,1778233489408528,1778233489430688,1778233489430734,25,49,397611,397623,57,133,173,367,368,397607,397656,397674,453922,464672,486832,486878,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_044,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
45,1,0,0,1778233491683284,1778233491683308,1778233491683333,1778233492015923,1778233492015933,1778233491683337,1778233491683402,1778233491683441,1778233491683602,1778233491683602,1778233492015918,1778233492015966,1778233492015983,1778233492072593,1778233492085140,1778233492107879,1778233492107924,24,49,332639,332649,53,118,157,318,318,332634,332682,332699,389309,401856,424595,424640,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_045,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
46,1,0,0,1778233494466104,1778233494466128,1778233494466151,1778233494789266,1778233494789276,1778233494466155,1778233494466223,1778233494466266,1778233494466432,1778233494466432,1778233494789261,1778233494789304,1778233494789320,1778233494848265,1778233494865550,1778233494887539,1778233494887621,24,47,323162,323172,51,119,162,328,328,323157,323200,323216,382161,399446,421435,421517,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_046,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
47,1,0,0,1778233497227405,1778233497227435,1778233497227461,1778233497555661,1778233497555670,1778233497227467,1778233497227552,1778233497227589,1778233497227821,1778233497227822,1778233497555656,1778233497555698,1778233497555714,1778233497614591,1778233497630272,1778233497654287,1778233497654360,30,56,328256,328265,62,147,184,416,417,328251,328293,328309,387186,402867,426882,426955,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_047,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
48,1,0,0,1778233499899037,1778233499899072,1778233499899095,1778233500245170,1778233500245182,1778233499899101,1778233499899170,1778233499899209,1778233499899394,1778233499899394,1778233500245165,1778233500245210,1778233500245230,1778233500293104,1778233500320377,1778233500341937,1778233500341993,35,58,346133,346145,64,133,172,357,357,346128,346173,346193,394067,421340,442900,442956,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_048,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
49,1,0,0,1778233502716915,1778233502716944,1778233502716965,1778233503041571,1778233503041585,1778233502716970,1778233502717031,1778233502717057,1778233502717200,1778233502717200,1778233503041566,1778233503041609,1778233503041627,1778233503097069,1778233503111618,1778233503131465,1778233503131516,29,50,324656,324670,55,116,142,285,285,324651,324694,324712,380154,394703,414550,414601,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_049,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
50,1,0,0,1778233505481181,1778233505481203,1778233505481224,1778233505789114,1778233505789123,1778233505481228,1778233505481290,1778233505481319,1778233505481466,1778233505481466,1778233505789109,1778233505789152,1778233505789200,1778233505838452,1778233505856882,1778233505877720,1778233505877772,22,43,307933,307942,47,109,138,285,285,307928,307971,308019,357271,375701,396539,396591,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_050,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
51,1,0,0,1778233508368113,1778233508368141,1778233508368166,1778233508706071,1778233508706081,1778233508368172,1778233508368246,1778233508368291,1778233508368521,1778233508368521,1778233508706066,1778233508706106,1778233508706124,1778233508762117,1778233508771659,1778233508795541,1778233508795596,28,53,337958,337968,59,133,178,408,408,337953,337993,338011,394004,403546,427428,427483,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_051,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
52,1,0,0,1778233511190312,1778233511190337,1778233511190358,1778233511543583,1778233511543596,1778233511190362,1778233511190425,1778233511190454,1778233511190621,1778233511190621,1778233511543579,1778233511543629,1778233511543650,1778233511597659,1778233511593559,1778233511615685,1778233511615738,25,46,353271,353284,50,113,142,309,309,353267,353317,353338,407347,403247,425373,425426,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_052,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
